column,metabolite_name,exchange_id,status,in_model
Gluc,Glucose,EX_glc_e,OK,True
Lac,Lactate,EX_lac_L_e,OK,True
NH4+,Ammonia,EX_nh4_e,OK,True
Ala,Alanine,EX_ala_L_e,OK,True
Arg,Arginine,EX_arg_L_e,OK,True
Asn,Asparagine,EX_asn_L_e,OK,True
Asp,Aspartate,EX_asp_L_e,OK,True
Cys,Cysteine,EX_cys_L_e,OK,True
Gln,Glutamine,EX_gln_L_e,OK,True
Glu,Glutamate,EX_glu_L_e,OK,True
Gly,Glycine,EX_gly_e,OK,True
His,Histidine,EX_his_L_e,OK,True
Ile,Isoleucine,EX_ile_L_e,OK,True
Leu,Leucine,EX_leu_L_e,OK,True
Lys,Lysine,EX_lys_L_e,OK,True
Met,Methionine,EX_met_L_e,OK,True
Phe,Phenylalanine,EX_phe_L_e,OK,True
Pro,Proline,EX_pro_L_e,OK,True
Ser,Serine,EX_ser_L_e,OK,True
Thr,Threonine,EX_thr_L_e,OK,True
Trp,Tryptophan,EX_trp_L_e,OK,True
Tyr,Tyrosine,EX_tyr_L_e,OK,True
Val,Valine,EX_val_L_e,OK,True
