clone,strategy,objective,obj,status,n_constraints,biomass_lb
High01,strict_measured,DM_igg_g,0.0005005005005005004,optimal,23,0.0
High01,relaxed_50pct,DM_igg_g,0.0005005005005005004,optimal,23,0.0
High01,relaxed_100pct,DM_igg_g,0.0005005005005005004,optimal,23,0.0
High01,core_exchange_only,DM_igg_g,0.0,optimal,5,0.0
High01,no_measured_exchange,DM_igg_g,0.0,optimal,0,0.0
High02,strict_measured,DM_igg_g,0.0005005005005005006,optimal,23,0.0
High02,relaxed_50pct,DM_igg_g,0.0005005005005005006,optimal,23,0.0
High02,relaxed_100pct,DM_igg_g,0.0005005005005005004,optimal,23,0.0
High02,core_exchange_only,DM_igg_g,7.806582352452627e-20,optimal,5,0.0
High02,no_measured_exchange,DM_igg_g,0.0,optimal,0,0.0
High03,strict_measured,DM_igg_g,0.0005005005005005005,optimal,23,0.0
High03,relaxed_50pct,DM_igg_g,0.0005005005005005005,optimal,23,0.0
High03,relaxed_100pct,DM_igg_g,0.0005005005005005005,optimal,23,0.0
High03,core_exchange_only,DM_igg_g,0.0,optimal,5,0.0
High03,no_measured_exchange,DM_igg_g,0.0,optimal,0,0.0
Low01,strict_measured,DM_igg_g,0.0005005005005005005,optimal,23,0.0
Low01,relaxed_50pct,DM_igg_g,0.0005005005005005005,optimal,23,0.0
Low01,relaxed_100pct,DM_igg_g,0.0005005005005005006,optimal,23,0.0
Low01,core_exchange_only,DM_igg_g,0.0,optimal,5,0.0
Low01,no_measured_exchange,DM_igg_g,0.0,optimal,0,0.0
Low02,strict_measured,DM_igg_g,0.0005005005005005005,optimal,23,0.0
Low02,relaxed_50pct,DM_igg_g,0.0005005005005005005,optimal,23,0.0
Low02,relaxed_100pct,DM_igg_g,0.0005005005005005005,optimal,23,0.0
Low02,core_exchange_only,DM_igg_g,8.70072440122763e-20,optimal,5,0.0
Low02,no_measured_exchange,DM_igg_g,0.0,optimal,0,0.0
Low03,strict_measured,DM_igg_g,0.0005005005005005005,optimal,23,0.0
Low03,relaxed_50pct,DM_igg_g,0.0005005005005005005,optimal,23,0.0
Low03,relaxed_100pct,DM_igg_g,0.0005005005005005005,optimal,23,0.0
Low03,core_exchange_only,DM_igg_g,8.70072440122763e-20,optimal,5,0.0
Low03,no_measured_exchange,DM_igg_g,0.0,optimal,0,0.0
Mother01,strict_measured,DM_igg_g,0.0005005005005005006,optimal,23,0.0
Mother01,relaxed_50pct,DM_igg_g,0.0005005005005005006,optimal,23,0.0
Mother01,relaxed_100pct,DM_igg_g,0.0005005005005005006,optimal,23,0.0
Mother01,core_exchange_only,DM_igg_g,-8.70072440122763e-20,optimal,5,0.0
Mother01,no_measured_exchange,DM_igg_g,0.0,optimal,0,0.0
Mother02,strict_measured,DM_igg_g,0.0005005005005005004,optimal,22,0.0
Mother02,relaxed_50pct,DM_igg_g,0.0005005005005005004,optimal,22,0.0
Mother02,relaxed_100pct,DM_igg_g,0.0005005005005005003,optimal,22,0.0
Mother02,core_exchange_only,DM_igg_g,-1.7879041406429476e-20,optimal,4,0.0
Mother02,no_measured_exchange,DM_igg_g,0.0,optimal,0,0.0
Mother03,strict_measured,DM_igg_g,0.0005005005005005005,optimal,23,0.0
Mother03,relaxed_50pct,DM_igg_g,0.0005005005005005005,optimal,23,0.0
Mother03,relaxed_100pct,DM_igg_g,0.0005005005005005005,optimal,23,0.0
Mother03,core_exchange_only,DM_igg_g,0.0,optimal,5,0.0
Mother03,no_measured_exchange,DM_igg_g,-1.659109115532504e-36,optimal,0,0.0
